科室,指标编码,指标名称,年份,月份,数值,指标单位
心内科,nb_of_outp,门诊人次,2022,1,6071.0,人次
心内科,nb_of_outp,门诊人次,2022,2,5630.0,人次
心内科,nb_of_outp,门诊人次,2022,3,5675.0,人次
心内科,nb_of_outp,门诊人次,2022,4,5049.0,人次
心内科,nb_of_outp,门诊人次,2022,5,4831.0,人次
心内科,nb_of_outp,门诊人次,2022,6,3977.0,人次
心内科,nb_of_outp,门诊人次,2022,7,4410.0,人次
心内科,nb_of_outp,门诊人次,2022,8,4418.0,人次
心内科,nb_of_outp,门诊人次,2022,9,5113.0,人次
心内科,nb_of_outp,门诊人次,2022,10,5966.0,人次
心内科,nb_of_outp,门诊人次,2022,11,5755.0,人次
心内科,nb_of_outp,门诊人次,2022,12,6110.0,人次
心内科,nb_of_outp,门诊人次,2023,1,6755.0,人次
心内科,nb_of_outp,门诊人次,2023,2,6205.0,人次
心内科,nb_of_outp,门诊人次,2023,3,5278.0,人次
心内科,nb_of_outp,门诊人次,2023,4,5121.0,人次
心内科,nb_of_outp,门诊人次,2023,5,4908.0,人次
心内科,nb_of_outp,门诊人次,2023,6,4031.0,人次
心内科,nb_of_outp,门诊人次,2023,7,4905.0,人次
心内科,nb_of_outp,门诊人次,2023,8,5231.0,人次
心内科,nb_of_outp,门诊人次,2023,9,5412.0,人次
心内科,nb_of_outp,门诊人次,2023,10,5726.0,人次
心内科,nb_of_outp,门诊人次,2023,11,7158.0,人次
心内科,nb_of_outp,门诊人次,2023,12,6489.0,人次
心内科,nb_of_outp,门诊人次,2024,1,6210.0,人次
心内科,nb_of_outp,门诊人次,2024,2,5827.0,人次
心内科,nb_of_outp,门诊人次,2024,3,6163.0,人次
心内科,nb_of_outp,门诊人次,2024,4,5294.0,人次
心内科,nb_of_outp,门诊人次,2024,5,5057.0,人次
心内科,nb_of_outp,门诊人次,2024,6,4822.0,人次
心内科,nb_of_outp,门诊人次,2024,7,4799.0,人次
心内科,nb_of_outp,门诊人次,2024,8,5677.0,人次
心内科,nb_of_outp,门诊人次,2024,9,5622.0,人次
心内科,nb_of_outp,门诊人次,2024,10,6405.0,人次
心内科,nb_of_outp,门诊人次,2024,11,7206.0,人次
心内科,nb_of_outp,门诊人次,2024,12,7079.0,人次
心内科,nb_of_outp,门诊人次,2025,1,7466.0,人次
心内科,nb_of_outp,门诊人次,2025,2,6629.0,人次
心内科,nb_of_outp,门诊人次,2025,3,6177.0,人次
心内科,nb_of_outp,门诊人次,2025,4,4856.0,人次
心内科,nb_of_outp,门诊人次,2025,5,4640.0,人次
心内科,nb_of_outp,门诊人次,2025,6,4548.0,人次
心内科,nb_of_outp,门诊人次,2025,7,4494.0,人次
心内科,nb_of_outp,门诊人次,2025,8,5056.0,人次
心内科,nb_of_outp,门诊人次,2025,9,5461.0,人次
心内科,nb_of_outp,门诊人次,2025,10,6238.0,人次
心内科,nb_of_outp,门诊人次,2025,11,7151.0,人次
