对话ID,轮次,用户问题,期望答案类型,期望答案内容,难度等级,测试目标
session_001,1,去年12月胸外科门诊人次是多少？,数值,"胸外科2024年12月门诊人次为8,772人次",P0,指标查询
session_001,2,那专家门诊人次呢？,数值,"胸外科2024年12月专家门诊人次约为2,300人次",P0,多轮对话
session_001,3,展示2025年胸外科门诊人次趋势,图表,"折线图展示2025年1-12月胸外科门诊人次，6月有明显下降（约3,968人次）",P0,数据可视化
session_002,1,心内科和心外科2024年12月的门诊人次分别是多少？,表格,"心内科7,079人次，心外科8,735人次",P0,多指标查询
session_002,2,这两个科室的手术人次相差多少？,数值,心外科507人次，心内科21人次，相差486人次,P0,多轮对话+计算
session_003,1,展示骨科2023年全年的出院人次趋势,图表,折线图展示2023年1-12月骨科出院人次，呈现季节性波动,P0,数据可视化+时间范围查询
session_003,2,哪个月份最高？,数值,"2023年12月最高，约2,000人次",P0,多轮对话+极值查询
session_004,1,2025年6月胸外科的日均手术台次是多少？,数值,胸外科2025年6月日均手术台次为38台,P0,指标查询
session_005,1,普外科2024年12月的床位使用率是多少？,数值,普外科2024年12月床位使用率约为85-90%,P0,指标查询
session_005,2,平均住院日呢？,数值,普外科2024年12月平均住院日约为8-10天,P0,多轮对话
session_006,1,为什么2025年6月胸外科门诊人次下降？,分析,可查询影响门诊人次的因子指标（普通门诊、专家门诊等），发现6月普通门诊和专家门诊均有下降，可能是夏季就诊淡季或其他因素,P1,因果分析
session_006,2,普通门诊和专家门诊分别下降了多少？,数值,相比5月，普通门诊下降约4%，专家门诊下降约5%,P1,多轮对话+因子查询
session_007,1,2024年哪个科室的手术人次最多？,数值,骨科手术人次最多，年平均约430人次/月,P1,复杂查询+排序
session_007,2,前三名分别是哪些科室？,表格,第一名骨科，第二名胸外科，第三名心外科,P1,多轮对话+TopN查询
session_008,1,神经外科2024年全年的DRG总例数是多少？,数值,"神经外科2024年DRG总例数约15,000例",P1,指标查询+年度汇总
session_008,2,关键DRG占比是多少？,数值,神经外科2024年关键DRG占比约为60-70%,P1,多轮对话
session_009,1,帮我分析一下胸外科2025年上半年的运营情况,分析,综合门诊人次、手术人次、出院人次等多个指标，分析2025年1-6月的运营趋势，指出6月门诊人次异常下降,P2,综合能力
session_009,2,给出改进建议,分析,基于数据分析给出改进建议，如增加夏季门诊资源、优化出诊安排等,P2,综合能力+推理
session_010,1,用语音告诉我眼科2024年12月的门急诊人次,语音,"语音播报：""眼科2024年12月门急诊人次约为5,800人次""",P2,语音交互
session_011,1,对比一下妇产科和儿科2024年的门诊人次情况,图表,对比柱状图展示妇产科和儿科2024年各月门诊人次，妇产科普遍高于儿科,P2,多科室对比+可视化
session_012,1,根据2022-2024年的数据，预测骨科2025年12月的门诊人次,数值,"基于历史趋势，预测骨科2025年12月门诊人次约为8,500-9,000人次",P2,时间序列预测
